,spread,Mspread,ARMA_resid,ARMA_resid_square
2021-11-03 14:35:00,-15.457326718470759,-0.013561044084880793,0.06317894722931072,0.003991579373004029
2021-11-03 14:40:00,-15.480742791911602,-0.03697711752572275,-0.009708123629684186,9.424766440923245e-05
2021-11-03 14:45:00,-15.510742791911605,-0.06697711752572387,-0.03217680349688087,0.0010353466832768849
2021-11-03 14:50:00,-15.5207427919116,-0.0769771175257219,-0.017246084902723065,0.0002974274444719324
2021-11-03 14:55:00,-15.40391064502994,0.03985502935594098,0.11272794796087027,0.012707590251468675
2021-11-03 15:00:00,-15.433910645029941,0.009855029355939848,-0.0052095262383278565,2.7139163627826385e-05
2021-11-04 09:35:00,-15.453910645029936,-0.010144970644056173,-0.020852658243158635,0.0004348333558059718
2021-11-04 09:40:00,-15.433910645029941,0.009855029355939848,0.015624723950085767,0.00024413199851638378
2021-11-04 09:45:00,-15.380494571589105,0.06327110279677584,0.05705326713010202,0.003255075290218779
2021-11-04 09:50:00,-15.397078498148275,0.04668717623760443,-0.0036141952016074397,1.3062406955322242e-05
2021-11-04 09:55:00,-15.420494571589105,0.023271102796776688,-0.02364598499475594,0.000559132606372223
2021-11-04 10:00:00,-15.450494571589106,-0.00672889720322445,-0.03472417162671436,0.0012057680951615146
2021-11-04 10:05:00,-15.500494571589101,-0.056728897203221613,-0.057338762914072944,0.003287733732516267
2021-11-04 10:10:00,-15.510494571589101,-0.06672889720321963,-0.022590958265955675,0.0005103513953741511
2021-11-04 10:15:00,-15.633910645029935,-0.1901449706440559,-0.12859449613055968,0.016536544435072527
2021-11-04 10:20:00,-15.560494571589105,-0.11672889720322388,0.04445883823255481,0.0019765882969884773
2021-11-04 10:25:00,-15.553910645029935,-0.1101449706440576,0.015476289720626688,0.00023951554351677527
2021-11-04 10:30:00,-15.480494571589105,-0.03672889720322559,0.07611246182196181,0.005793106844599594
2021-11-04 10:35:00,-15.523910645029936,-0.08014497064405646,-0.027096368349006028,0.0007342131777050157
2021-11-04 10:40:00,-15.463910645029936,-0.020144970644054183,0.05374903975793871,0.002888959274900476
2021-11-04 10:45:00,-15.483910645029935,-0.04014497064405731,-0.008374090607829766,7.012539350814271e-05
2021-11-04 10:50:00,-15.480494571589105,-0.03672889720322559,0.001502766945069331,2.2583084911930096e-06
2021-11-04 10:55:00,-15.5404945715891,-0.09672889720322077,-0.05975893847305144,0.003571130727425948
2021-11-04 11:00:00,-15.530494571589102,-0.08672889720322274,-0.0034154534237093304,1.1665322089527786e-05
2021-11-04 11:05:00,-15.5404945715891,-0.09672889720322077,-0.0111975055711077,0.00012538413101498795
2021-11-04 11:10:00,-15.467078498148274,-0.02331282376239585,0.07046577433679031,0.004965425352883456
2021-11-04 11:15:00,-15.530494571589102,-0.08672889720322274,-0.04821164242764459,0.00232436246557106
2021-11-04 11:20:00,-15.520494571589104,-0.07672889720322472,-0.0008512369963342287,7.246044239281196e-07
2021-11-04 11:25:00,-15.550494571589105,-0.10672889720322587,-0.030569173421665062,0.0009344743636838336
2021-11-04 11:30:00,-15.5704945715891,-0.1267288972032219,-0.02720069432602089,0.0007398777718176249
2021-11-04 13:05:00,-15.530494571589102,-0.08672889720322274,0.03337375486345352,0.0011138075136858877
2021-11-04 13:10:00,-15.520494571589104,-0.07672889720322472,0.01673069421658996,0.0002799161289690367
2021-11-04 13:15:00,-15.593910645029936,-0.15014497064405674,-0.07019628075532558,0.004927517831880493
2021-11-04 13:20:00,-15.530494571589102,-0.08672889720322274,0.04734679178068946,0.0022417186919239628
2021-11-04 13:25:00,-15.593910645029936,-0.15014497064405674,-0.05367414213927786,0.0028809135343874034
2021-11-04 13:30:00,-15.573910645029931,-0.1301449706440536,0.007491295529933634,5.611950871680364e-05
2021-11-04 13:35:00,-15.460494571589102,-0.01672889720322246,0.11424019881813395,0.013050823026006774
2021-11-04 13:40:00,-15.543910645029941,-0.10014497064405957,-0.05872824152431394,0.003449006352538152
2021-11-04 13:45:00,-15.480494571589105,-0.03672889720322559,0.05019686716964633,0.0025197254736471176
2021-11-04 13:50:00,-15.530494571589102,-0.08672889720322274,-0.039265193893137505,0.0015417554514656829
2021-11-04 13:55:00,-15.5404945715891,-0.09672889720322077,-0.018923246841763303,0.00035808927103430483
2021-11-04 14:00:00,-15.613910645029941,-0.17014497064405987,-0.078031296123111,0.006088883174652637
2021-11-04 14:05:00,-15.5404945715891,-0.09672889720322077,0.055506849724432344,0.0030810103663307152
2021-11-04 14:10:00,-15.530494571589102,-0.08672889720322274,0.021424716834464702,0.0004590184914369952
2021-11-04 14:15:00,-15.550494571589105,-0.10672889720322587,-0.01584436420883875,0.00025104387718233046
2021-11-04 14:20:00,-15.583910645029938,-0.14014497064405873,-0.037443521189661155,0.0014020172790806039
2021-11-04 14:25:00,-15.477078498148275,-0.03331282376239386,0.09789693131967564,0.009583809161809289
2021-11-04 14:30:00,-15.530494571589102,-0.08672889720322274,-0.03237586936321722,0.0010481969170241074
2021-11-04 14:35:00,-15.510494571589101,-0.06672889720321963,0.012561426077782975,0.00015778942510760618
2021-11-04 14:40:00,-15.563910645029935,-0.1201449706440556,-0.051019037482038225,0.002602942185593621
2021-11-04 14:45:00,-15.460494571589102,-0.01672889720322246,0.0917067573811711,0.008410129349368979
2021-11-04 14:50:00,-15.450494571589106,-0.00672889720322445,0.02983179847806708,0.0008899362004360053
2021-11-04 14:55:00,-15.460494571589102,-0.01672889720322246,-0.0034267313072889344,1.174248745235413e-05
2021-11-04 15:00:00,-15.357078498148274,0.08668717623760358,0.10274628082903696,0.010556798224199328
