,spread,Mspread
2021-10-08 09:35:00,-0.1917649165229358,-0.05329527048920166
2021-10-08 09:40:00,-0.1970330919181693,-0.058563445884435156
2021-10-08 09:45:00,-0.1970330919181693,-0.058563445884435156
2021-10-08 09:50:00,-0.2017649165229356,-0.06329527048920144
2021-10-08 09:55:00,-0.2064967411277019,-0.06802709509396773
2021-10-08 10:00:00,-0.2064967411277019,-0.06802709509396773
2021-10-08 10:05:00,-0.2017649165229356,-0.06329527048920144
2021-10-08 10:10:00,-0.2017649165229356,-0.06329527048920144
2021-10-08 10:15:00,-0.2064967411277019,-0.06802709509396773
2021-10-08 10:20:00,-0.1964967411277021,-0.058027095093967945
2021-10-08 10:25:00,-0.22069221494199986,-0.08222256890826571
2021-10-08 10:30:00,-0.21596039033723358,-0.07749074430349942
2021-10-08 10:35:00,-0.2006922149419994,-0.06222256890826525
2021-10-08 10:40:00,-0.19596039033723311,-0.05749074430349896
2021-10-08 10:45:00,-0.1964967411277021,-0.058027095093967945
2021-10-08 10:50:00,-0.2064967411277019,-0.06802709509396773
2021-10-08 10:55:00,-0.2064967411277019,-0.06802709509396773
2021-10-08 11:00:00,-0.1964967411277021,-0.058027095093967945
2021-10-08 11:05:00,-0.1964967411277021,-0.058027095093967945
2021-10-08 11:10:00,-0.1917649165229358,-0.05329527048920166
2021-10-08 11:15:00,-0.18176491652293514,-0.04329527048920098
2021-10-08 11:20:00,-0.18176491652293514,-0.04329527048920098
2021-10-08 11:25:00,-0.17230126731340256,-0.033831621279668406
2021-10-08 11:30:00,-0.18230126731340324,-0.04383162127966908
2021-10-08 13:05:00,-0.18230126731340324,-0.04383162127966908
2021-10-08 13:10:00,-0.18230126731340324,-0.04383162127966908
2021-10-08 13:15:00,-0.19230126731340302,-0.05383162127966887
2021-10-08 13:20:00,-0.18703309191816953,-0.04856344588443537
2021-10-08 13:25:00,-0.18703309191816953,-0.04856344588443537
2021-10-08 13:30:00,-0.18230126731340324,-0.04383162127966908
2021-10-08 13:35:00,-0.18176491652293514,-0.04329527048920098
2021-10-08 13:40:00,-0.18703309191816953,-0.04856344588443537
2021-10-08 13:45:00,-0.18176491652293514,-0.04329527048920098
2021-10-08 13:50:00,-0.18176491652293514,-0.04329527048920098
2021-10-08 13:55:00,-0.1917649165229358,-0.05329527048920166
2021-10-08 14:00:00,-0.19122856573246771,-0.05275891969873356
2021-10-08 14:05:00,-0.2012285657324684,-0.06275891969873423
2021-10-08 14:10:00,-0.2012285657324684,-0.06275891969873423
2021-10-08 14:15:00,-0.2059603903372338,-0.06749074430349963
2021-10-08 14:20:00,-0.2059603903372338,-0.06749074430349963
2021-10-08 14:25:00,-0.2012285657324684,-0.06275891969873423
2021-10-08 14:30:00,-0.19122856573246771,-0.05275891969873356
2021-10-08 14:35:00,-0.19122856573246771,-0.05275891969873356
2021-10-08 14:40:00,-0.19596039033723311,-0.05749074430349896
2021-10-08 14:45:00,-0.19596039033723311,-0.05749074430349896
2021-10-08 14:50:00,-0.19596039033723311,-0.05749074430349896
2021-10-08 14:55:00,-0.17596039033723354,-0.037490744303499385
2021-10-08 15:00:00,-0.16649674112770185,-0.028027095093967697
2021-10-11 09:35:00,-0.21854681178012925,-0.08007716574639509
2021-10-11 09:40:00,-0.20854681178012946,-0.0700771657463953
2021-10-11 09:45:00,-0.2327422855944281,-0.09427263956069395
2021-10-11 09:50:00,-0.21381498717536296,-0.0753453411416288
2021-10-11 09:55:00,-0.19961951336106498,-0.061149867327330826
2021-10-11 10:00:00,-0.1948876887562987,-0.05641804272256454
2021-10-11 10:05:00,-0.1901558641515333,-0.05168621811779914
2021-10-11 10:10:00,-0.19961951336106498,-0.061149867327330826
2021-10-11 10:15:00,-0.1948876887562987,-0.05641804272256454
2021-10-11 10:20:00,-0.1848876887562989,-0.04641804272256475
2021-10-11 10:25:00,-0.1896195133610652,-0.05114986732733104
2021-10-11 10:30:00,-0.1896195133610652,-0.05114986732733104
2021-10-11 10:35:00,-0.19961951336106498,-0.061149867327330826
2021-10-11 10:40:00,-0.1948876887562987,-0.05641804272256454
2021-10-11 10:45:00,-0.1848876887562989,-0.04641804272256475
2021-10-11 10:50:00,-0.1801558641515335,-0.04168621811779935
2021-10-11 10:55:00,-0.1848876887562989,-0.04641804272256475
2021-10-11 11:00:00,-0.17961951336106452,-0.041149867327330364
2021-10-11 11:05:00,-0.17961951336106452,-0.041149867327330364
2021-10-11 11:10:00,-0.1848876887562989,-0.04641804272256475
2021-10-11 11:15:00,-0.17488768875629823,-0.036418042722564076
2021-10-11 11:20:00,-0.1843513379658308,-0.04588169193209665
2021-10-11 11:25:00,-0.19435133796583148,-0.05588169193209733
2021-10-11 11:30:00,-0.19908316257059777,-0.060613516536863615
2021-10-11 13:05:00,-0.1890831625705971,-0.05061351653686294
2021-10-11 13:10:00,-0.19908316257059777,-0.060613516536863615
2021-10-11 13:15:00,-0.17961951336106452,-0.041149867327330364
2021-10-11 13:20:00,-0.19435133796583148,-0.05588169193209733
2021-10-11 13:25:00,-0.1843513379658308,-0.04588169193209665
2021-10-11 13:30:00,-0.1896195133610652,-0.05114986732733104
2021-10-11 13:35:00,-0.15961951336106495,-0.02114986732733079
2021-10-11 13:40:00,-0.16961951336106473,-0.031149867327330577
2021-10-11 13:45:00,-0.15961951336106495,-0.02114986732733079
2021-10-11 13:50:00,-0.15961951336106495,-0.02114986732733079
2021-10-11 13:55:00,-0.14961951336106516,-0.011149867327331003
2021-10-11 14:00:00,-0.17435133796583102,-0.035881691932096865
