,600000.XSHG,600028.XSHG,600030.XSHG,600031.XSHG,600036.XSHG,600048.XSHG,600050.XSHG,600104.XSHG,600196.XSHG,600276.XSHG,600309.XSHG,600436.XSHG,600438.XSHG,600519.XSHG,600547.XSHG,600570.XSHG,600585.XSHG,600588.XSHG,600690.XSHG,600745.XSHG,600809.XSHG,600837.XSHG,600887.XSHG,600893.XSHG,600900.XSHG,601012.XSHG,601066.XSHG,601088.XSHG,601138.XSHG,601166.XSHG,601211.XSHG,601288.XSHG,601318.XSHG,601336.XSHG,601398.XSHG,601601.XSHG,601628.XSHG,601633.XSHG,601668.XSHG,601688.XSHG,601728.XSHG,601857.XSHG,601888.XSHG,601899.XSHG,601919.XSHG,601995.XSHG,603259.XSHG,603288.XSHG,603501.XSHG,603986.XSHG
600000.XSHG,0.1158254342507689,0.02068724512450776,0.3629636993397823,0.7607083120685066,0.8572087941740305,-0.2707257592717253,0.05480656396455118,0.35376807226815166,0.1730519012035914,1.4983973002446462,2.5926368517192846,11.901980232321492,0.7203698849493413,20.07089778601489,-0.08336605126756394,1.4720691725005588,0.3108359415182872,1.0289947092209888,0.5804137466608411,1.1411416518180546,5.334802623116587,0.20576877923765416,0.3492806505969569,1.1851440330991236,-0.08737590418802042,0.6097941377035695,0.5971591356684083,-0.5448152538187739,0.16332889854364993,-0.07344167967699282,0.2597260572876565,-0.0019966314166288317,0.49280239593992425,0.7345194244763017,0.010879906304303591,0.6075324834874409,0.578568999938803,3.2413044205696457,-0.03696336492577355,0.21845060204483902,0.030146662406585385,0.01911440588232782,8.277856053110595,-0.03471476637628854,0.05074304387551649,1.0820384276172816,3.179717631257231,2.592284349289188,5.3175421984296545,0.24815696469920187
600028.XSHG,0.02068724512450776,0.016253195484954276,0.06152703409986335,0.08818083432482213,0.11623838571620367,0.026991814770313805,0.008557018003587376,-0.017641823558510406,-0.12754657436154523,-0.05744308102373362,0.3668607407121453,-1.0563998341865355,-0.015181074440650897,0.5624637611002905,0.013227296971902905,-0.047215311795965796,0.19303853345515834,0.12172216342274286,0.02158998586179596,-0.5916290668862412,0.16379580928439177,0.009406630246648262,-0.03055854179505026,-0.2934862946383461,0.07237176456195882,-0.4593558306986535,0.024290277218385174,0.12938732895631336,0.013917563231727081,0.09484379362373047,0.05362651475124301,0.003223319459012372,0.16306664145248848,0.16439045628530405,0.006973473400702396,0.0784103208266977,0.11208015711777511,-0.12818428328876402,0.014995322790699555,0.050486008351870386,0.002371702943773097,0.040320139718094575,1.2373413034389962,0.03108002849107256,0.028811948134459198,0.08000475822734128,-0.20268446253358116,-0.16692800486054896,-1.0811309662130009,-0.6978164096237748
600030.XSHG,0.3629636993397823,0.06152703409986335,2.0429870839719895,2.6230671813276554,2.9419576142548585,-0.614021560642589,0.18437997456997135,1.3767434683003459,-0.8502585168714397,4.620907085106984,9.131768742329598,44.2003548588172,-0.3756124388562103,121.83087454149573,-0.6166261923780124,6.7304113704676745,1.8976935588804436,5.238311160404869,3.0398671986905708,11.253320437212187,15.50364159985384,0.8021647462796634,1.836684326601171,4.959777889270856,0.14019612884089278,0.09745581525407943,2.2908678368607083,-1.7017914719743101,0.690435471681845,0.19545013638901654,1.1016815273589249,-0.0009523408921312404,2.398980877975237,2.2700212278355987,0.046055142761348665,2.1265321551634977,2.007926929857144,8.789398513620636,-0.019183296905605957,1.2791470268202476,0.1499521659999023,-0.060199415033437786,22.803241700704618,-0.37483070163016896,0.840232674740422,3.509334144942862,3.509703555187265,7.025490948281993,31.366008559395155,3.8265568531863554
600031.XSHG,0.7607083120685066,0.08818083432482213,2.6230671813276554,6.155101496756786,5.261081323220147,-2.0667042111532052,0.3748273704411082,3.0101566971810403,3.177800502854444,12.685472681155447,18.61599839757137,105.80291179897824,5.103208253753308,196.03706198175132,-0.9990307453517435,12.263926611691218,1.8820718641555918,8.050669171611064,5.031924077654451,14.685295379727183,41.407907133044766,1.5650011068798892,2.762222327807088,11.282163647126506,-0.9426778888854103,6.789386653973001,4.845128944168741,-4.664152735074181,1.293300282509093,-1.2370774835491125,1.7616796629329283,-0.03551045361919519,2.846721432857941,4.731321286613333,0.037044434159922,4.08862449792831,3.8855322304324447,24.54634344130125,-0.352865668328715,1.690452459088039,0.24556757179162028,-0.1047500090016752,52.81900159251374,-0.6824280266501765,0.9030207783448398,9.1475099298913,26.921809405445877,20.044318376136946,55.498054884126255,8.324065851493234
600036.XSHG,0.8572087941740305,0.11623838571620367,2.9419576142548585,5.261081323220147,8.078988303325376,-2.3394873351649785,0.39810479783352565,2.8299771513884875,1.942861813886157,11.268516120055066,19.91649865691212,97.57512051494797,6.340694734980721,138.2423524629247,-0.41966098331262564,12.078143540284096,1.7325213069056489,7.124099811925477,4.369229066823975,9.650274328562798,39.71840745178588,1.6059508609704918,3.410559408873397,10.452324570908294,-1.1265388740244622,6.599541466755945,4.496829320887064,-4.5746826887707,1.198541991628323,-0.6334691043060504,1.9367902609110028,-0.01488908853473603,4.09396026558618,5.384312375986804,0.08616025108150564,4.792031336799748,4.3213145983213,27.743065026677687,-0.3196952293138184,1.4891401930960118,0.23308109358848275,0.031977879860015115,65.01122739220402,-0.052185543404677924,-0.11956784086935988,7.792711701442309,25.80928552983693,21.85131079350655,42.69630706352786,4.022829370070132
600048.XSHG,-0.2707257592717253,0.026991814770313805,-0.614021560642589,-2.0667042111532052,-2.3394873351649785,1.8478603147781412,-0.14010949057041924,-1.360267348217407,-1.7016990710988833,-5.634598839142676,-7.437072996214079,-45.75686531628494,-5.145640328874243,-24.55852604138944,0.2780533692030516,-4.909943825046574,0.8630067204679829,-1.668971468016657,-0.9313660440508058,-3.416780993778408,-18.931731009694413,-0.6204035978977827,-1.3132279425040834,-5.596702740129468,1.004809688085435,-7.077820547725836,-1.8041883513105914,2.980773708390083,-0.3758919133973626,1.3013372034013286,-0.4413709584109564,0.03503323969634347,-0.1420879364507829,-1.5866598124129183,0.01586618556627059,-1.5798537814536788,-1.2692961622858512,-14.638202941590869,0.347798939009085,-0.07618858603905426,-0.06283624557091495,0.09809402895408358,-27.85588240896567,0.186197655194097,0.43764109897407005,-3.5995398868789494,-16.366275865400166,-11.452858471261177,-17.792057394419484,-4.820929364670903
600050.XSHG,0.05480656396455118,0.008557018003587376,0.18437997456997135,0.3748273704411082,0.39810479783352565,-0.14010949057041924,0.028691830736723656,0.19065458540466743,0.04472428943101344,0.7642923892497466,1.2892428742905993,6.063412308290415,0.33101863165287826,9.80066574689472,-0.0405612093922458,0.7605522252638951,0.15504742390797466,0.5268140846328242,0.2860613616201782,0.7715416078711411,2.567129909915648,0.1070141276902437,0.20011005915250954,0.6415482718384911,-0.034715346053328835,0.3702642065230955,0.29774056740677285,-0.28509826030472396,0.08672496284881788,-0.042148244448018256,0.12315220438451552,-0.0012006211808110372,0.23851682433236981,0.3457054682863514,0.004962838802177105,0.3021246590808282,0.27795977437224284,1.607525659114747,-0.019040067517307184,0.10556064489589609,0.015534470343335039,0.005053413911964307,3.925864384214264,-0.021825881144206617,0.031030956808089028,0.5158921703809547,1.4035967433742211,1.332835431500455,2.952120233535949,0.25684083191251594
600104.XSHG,0.35376807226815166,-0.017641823558510406,1.3767434683003459,3.0101566971810403,2.8299771513884875,-1.360267348217407,0.19065458540466743,2.0690589794703698,1.9751503017666299,7.680791440085965,9.823900322239808,68.49363936797803,3.1897883998828704,106.4411501455982,-0.5016069689124363,7.651320358284458,0.2857508491224375,4.066473527158729,2.7429330030643646,11.922349507662336,24.026562970942376,0.9125675395000381,2.052941523861436,8.495950279612307,-0.8687219337080592,6.4756701836383215,2.737151007950412,-3.264495629995099,0.7263419976146153,-1.1173097419590963,0.7903352060701652,-0.03292923629918956,1.109478250506062,2.0679490292600695,-0.002441998065292128,2.1570033857001922,1.8295698510655656,15.563672272421286,-0.26685918992455193,0.7052197167846491,0.13187890269462002,-0.24591329317922087,26.702587252009184,-0.42463782323010946,0.3873614806284899,4.717694459445259,15.365081363680249,13.391087777335205,37.43578257747726,8.24930024610212
600196.XSHG,0.1730519012035914,-0.12754657436154523,-0.8502585168714397,3.177800502854444,1.942861813886157,-1.7016990710988833,0.04472428943101344,1.9751503017666299,17.35360339821833,12.343673573023986,5.803036120051509,108.25709738025161,9.595515755546526,71.96912373165924,-0.31409158987075503,5.556917388834651,-3.6633462091443727,-1.4768823764102028,1.928553140380826,1.2253623932400126,28.165455611219066,0.5920892867109423,0.6900110755709014,14.125574646275087,-3.58613840161442,15.626264461543874,2.9690236855538172,-4.45450075045388,0.37090451924709983,-4.008930327900543,-0.18552736462678512,-0.061231135456945855,-2.138058942280642,0.4757382711909405,-0.08653336448043375,0.5782159521275742,0.565698804793397,23.16240919366339,-0.6617831073219079,-0.5542764726426166,0.10429336351207165,-0.6791562141267234,12.876019100540521,-0.34528865796647046,-0.4680598992749321,8.625423654581649,51.01910671350028,18.622006320412314,31.627456242916654,15.02656366626544
600276.XSHG,1.4983973002446462,-0.05744308102373362,4.620907085106984,12.685472681155447,11.268516120055066,-5.634598839142676,0.7642923892497466,7.680791440085965,12.343673573023986,34.17205175151664,39.4751547727083,283.64643466336344,15.573225007133738,395.10657436557153,-1.9552131204781105,29.334966538407617,0.10444503202414188,14.45433176895724,10.696296431630438,39.87441883070671,102.14282291834483,3.6295935474326604,7.484127925236048,35.308943931919224,-4.333584232830757,28.382110511291,11.34203777204865,-14.108594242729042,2.913482608268566,-5.579501892901651,3.0355869623159517,-0.14160936366636911,3.436004774682971,8.552316415266128,-0.025363882768184604,8.623450448230642,7.517757193097438,65.79339799856825,-1.2484301904471,2.4330195219084643,0.526591352639851,-0.9508958212125005,114.37285262619423,-1.7659628154974458,0.9375416394303733,20.936639612286346,77.52398454110549,56.173993662776255,137.64391911796866,30.774225187935166
