,600000.XSHG,600028.XSHG,600030.XSHG,600031.XSHG,600036.XSHG,600048.XSHG,600050.XSHG,600104.XSHG,600196.XSHG,600276.XSHG,600309.XSHG,600436.XSHG,600438.XSHG,600519.XSHG,600547.XSHG,600570.XSHG,600585.XSHG,600588.XSHG,600690.XSHG,600745.XSHG,600809.XSHG,600837.XSHG,600887.XSHG,600893.XSHG,600900.XSHG,601012.XSHG,601066.XSHG,601088.XSHG,601138.XSHG,601166.XSHG,601211.XSHG,601288.XSHG,601318.XSHG,601336.XSHG,601398.XSHG,601601.XSHG,601628.XSHG,601633.XSHG,601668.XSHG,601688.XSHG,601728.XSHG,601857.XSHG,601888.XSHG,601899.XSHG,601919.XSHG,601995.XSHG,603259.XSHG,603288.XSHG,603501.XSHG,603986.XSHG
600000.XSHG,1.0,0.4767945828411879,0.7461539004716242,0.9009456313649474,0.8861477918245892,-0.5851848076064902,0.9507174750371752,0.7226537009697386,0.12206174447528287,0.7531638826406959,0.9191492987587151,0.657830181111181,0.42176136832438327,0.48119313824830945,-0.2921039169835431,0.7346047294858651,0.43518926103374345,0.7285558653471823,0.6646885007927744,0.24897033043202924,0.684107268148115,0.8697322780396182,0.5714915949277237,0.501487752376035,-0.2097206695408357,0.24365613033518138,0.8360124842852268,-0.5889872925400873,0.8106015181526052,-0.15154493171980496,0.8818929716836681,-0.1431721174108868,0.6921748902938434,0.9691341150222104,0.4569983025698586,0.958189779687367,0.9441565626843744,0.770442182195674,-0.36222212097824735,0.633993548432619,0.7204298937569019,0.14256996924423807,0.890004798533349,-0.16315101337750434,0.11874922721270212,0.7864906375868046,0.5521463573915291,0.7350922497305038,0.4803586605771251,0.06974803555974177
600028.XSHG,0.4767945828411879,1.0,0.3376476960047314,0.27879643415652167,0.32077587689688797,0.15575002901857382,0.3962542527304321,-0.09620278827610781,-0.24016216253852846,-0.07707842265394575,0.34719878612638516,-0.1558674691807289,-0.02372719217003394,0.03599811518125507,0.12372339907053287,-0.06289859626480605,0.7214787409021712,0.23006574951733572,0.06600326550199768,-0.3445800504263001,0.05607137727441281,0.10613845694032524,-0.13347518635288305,-0.33151990624128963,0.4637151697227542,-0.48997725480894366,0.09077949083820047,0.373405751513488,0.1843911919666683,0.5224446922462026,0.48608533673232374,0.6170160862285169,0.6114215554093789,0.5790149622932151,0.7819359300642023,0.33013217299130837,0.48825890884355344,-0.0813368969429692,0.39227612564003494,0.39114268844464284,0.15130224409473986,0.8028268147550672,0.35513753633458095,0.3899325825931313,0.17999460585614682,0.15523844319215052,-0.0939547417530729,-0.1263633112922082,-0.2607147343235201,-0.5235754551169856
600030.XSHG,0.7461539004716242,0.3376476960047314,1.0,0.7397057487244365,0.7241442911668796,-0.31602121713329395,0.7615559405330338,0.6696282680894613,-0.14279840168106203,0.5530429975989604,0.7708474376842854,0.5816871694417156,-0.052362499931735765,0.6954711937049327,-0.5144453854175286,0.7997168925449839,0.632618927642719,0.8831005750230826,0.8289040181998303,0.5845987492562572,0.4733787153297956,0.8073072204881361,0.7155483724016193,0.4997129253519327,0.08012254441181153,0.00927194858334135,0.7636456374658032,-0.4380585562559883,0.8158994363193752,0.09602934160322153,0.8906879648219751,-0.016260059793754434,0.8023040310343726,0.71314800719043,0.46061356380413,0.7985886669066351,0.7801999506531644,0.4974489805357537,-0.0447605975743297,0.8839368031291236,0.8532462517448561,-0.10691254834635991,0.583767921899469,-0.4194496561497284,0.4681909353759708,0.6073579947911578,0.1451126422996728,0.474356703917906,0.67465709951774,0.256084233109127
600031.XSHG,0.9009456313649474,0.27879643415652167,0.7397057487244365,1.0,0.7460688641904013,-0.6128104263195346,0.8919377736817726,0.8434999461317646,0.30747809813569854,0.8746887026510465,0.9053469909141165,0.8021887176385726,0.4098631744839093,0.6447259796832269,-0.4801880662861788,0.839536155594723,0.36146604022286205,0.7819267247553546,0.7904946128936307,0.43951639887111965,0.72840595605788,0.9074132475451332,0.6199809008606482,0.6548863684521851,-0.31038250388166644,0.3721422672410399,0.9304914368708996,-0.6916936508402591,0.8804974673671432,-0.3501709196587588,0.8205624866344374,-0.3493020438640235,0.5484946050293493,0.8563422979482556,0.21345029350115616,0.8845932399927141,0.8698086673742882,0.800371096428368,-0.47434817572657645,0.6730059646126944,0.8050222106282099,-0.10717800782253889,0.7790207488817218,-0.4399635954626122,0.28989209937275673,0.9120908969006584,0.6412896944946906,0.7797131478031222,0.6877281503440514,0.32094113062502044
600036.XSHG,0.8861477918245892,0.32077587689688797,0.7241442911668796,0.7460688641904013,1.0,-0.6054909265922696,0.8268748673422496,0.6921783386470711,0.1640848894944176,0.6781920787297837,0.8454362020441915,0.6457391914229402,0.44449980287348934,0.39684162647419774,-0.17606386135436855,0.7216874740900658,0.29043503461661213,0.6039530676565608,0.599113035024803,0.2520990309808308,0.6098473683556517,0.8127590959377486,0.6681660699545168,0.5295726682769707,-0.3237570350750027,0.3157412606003574,0.7537938069342279,-0.5921627996378747,0.7122313940482105,-0.15651203291339036,0.7874199794736334,-0.12783569555224253,0.6885098092043942,0.8506175194209246,0.43333110710561,0.9049511969840375,0.8443611051598424,0.7895836555933358,-0.37511385360154476,0.5174765298695545,0.6669342388531903,0.028558829102064753,0.8369245790172709,-0.02936629909557046,-0.03350365149976621,0.6782080819634669,0.5366178532646732,0.7419252966547747,0.46181546498649045,0.13538189938454986
600048.XSHG,-0.5851848076064902,0.15575002901857382,-0.31602121713329395,-0.6128104263195346,-0.6054909265922696,1.0,-0.6084905734890553,-0.6956699896653696,-0.300506145958385,-0.7090761932746245,-0.660106203106355,-0.6331669449460987,-0.7542547858905309,-0.14740843094685485,0.24391792157088643,-0.6134362336763431,0.302502185768547,-0.29584622270645045,-0.2670350538750708,-0.18663478043366827,-0.6078040267246263,-0.6565197783121376,-0.537951142791464,-0.5929100837792506,0.6038106455580089,-0.708045299934048,-0.6323710153565176,0.8067761900782943,-0.46706224403712554,0.6722890853136415,-0.37520750071914993,0.6289385967453285,-0.049965200700799316,-0.5241213097220982,0.16685120993344582,-0.6238300972442913,-0.5185841301941159,-0.8711148039187772,0.8532948439616255,-0.05535908528752164,-0.3759500226283581,0.1831796495792617,-0.7498230692693693,0.21908726591403252,0.2564128441840073,-0.6550361406443793,-0.7115131367752704,-0.8130935188162138,-0.4023909923436153,-0.3392373636286548
600050.XSHG,0.9507174750371752,0.3962542527304321,0.7615559405330338,0.8919377736817726,0.8268748673422496,-0.6084905734890553,1.0,0.7824952132602941,0.06338251755288477,0.7718712716523171,0.9183367169448345,0.6733401475596582,0.3893915530769477,0.4720967848892921,-0.28554981540920954,0.7625659019764436,0.4361484500428101,0.7494280311796581,0.6582070287697681,0.3382129468956917,0.6614187980247979,0.9088036474244439,0.6578503029616091,0.5454329551543727,-0.16741481600371416,0.2972546567730139,0.8374975250161898,-0.6192614882269984,0.864791356979165,-0.17474354584341667,0.8401665506664693,-0.17297740866295688,0.6731082085765763,0.9164519171916204,0.418834491649262,0.9573947516727663,0.9113677260442978,0.767716692255744,-0.3748821758025498,0.6155402630743806,0.7458848335753044,0.07573122158927545,0.8480717756322341,-0.20609628011008774,0.14590570791686747,0.7534121987280472,0.48970083753070887,0.7593789841728511,0.5358109195484494,0.14504154532899968
600104.XSHG,0.7226537009697386,-0.09620278827610781,0.6696282680894613,0.8434999461317646,0.6921783386470711,-0.6956699896653696,0.7824952132602941,1.0,0.32962404173870474,0.9134483795100568,0.8240315707331544,0.8956954052710175,0.44186403723546,0.6037786032683443,-0.41584094055812126,0.9033944569121124,0.09465640428868151,0.6812134274345564,0.7432094256239086,0.6154395766224383,0.7289756648088168,0.9126130128104951,0.7947443196324179,0.850582987230887,-0.49333948107992437,0.6122014477087795,0.9066443789760044,-0.8350034911259218,0.852905802205227,-0.5454914326622284,0.6349320066330808,-0.5586730726180238,0.36870358143656706,0.6455590291012986,-0.02426891052164829,0.8049119786529078,0.706404381524092,0.8752816860476761,-0.6187299885936892,0.484252165793745,0.7456642912524738,-0.4339750793056849,0.6792714387649845,-0.4721823365995846,0.21447972401391413,0.8113275365585708,0.6312713129381249,0.8984431381641079,0.8001236909984049,0.5485777081876018
600196.XSHG,0.12206174447528287,-0.24016216253852846,-0.14279840168106203,0.30747809813569854,0.1640848894944176,-0.300506145958385,0.06338251755288477,0.32962404173870474,1.0,0.5068904006341539,0.16807641602940337,0.48883026149332776,0.45897254366010876,0.14096327335348877,-0.08991074414899103,0.22655130971072487,-0.4190173817957444,-0.0854284958792434,0.1804343504309425,0.021841362177476422,0.2950731982940272,0.2044562753317892,0.09223558712943215,0.48831768804707976,-0.7032078881412803,0.5101012672463642,0.3395810751202093,-0.39342580084270246,0.150388157704663,-0.675825319874661,-0.05146541378058329,-0.3587071184037037,-0.24534083458084532,0.05128092154907879,-0.2969478300753689,0.07450393897917922,0.07541908373037669,0.4497913461908284,-0.529817478129008,-0.13142112232256342,0.20361806043520356,-0.4138510539824241,0.11310016150515659,-0.13257601975391,-0.08948759701318432,0.5121986655725645,0.723778438735764,0.43141258540391253,0.23341355779252942,0.345042285823508
600276.XSHG,0.7531638826406959,-0.07707842265394575,0.5530429975989604,0.8746887026510465,0.6781920787297837,-0.7090761932746245,0.7718712716523171,0.9134483795100568,0.5068904006341539,1.0,0.8147692925410144,0.9127216246889583,0.5308309642508205,0.5514845163113578,-0.39884917068411213,0.8522706645269101,0.008513363327345487,0.5958187647880439,0.7131491136175812,0.5064876327588436,0.7625707546066669,0.8931626265272568,0.712923553740017,0.869841984303387,-0.605568443693484,0.660245158513216,0.9244431574419496,-0.8879874968264132,0.8418277744133609,-0.670286828687372,0.6000804503136435,-0.5911789470372891,0.2809721207010907,0.6569477017283557,-0.06202569078291252,0.791825609196767,0.7142390512997304,0.9104770197628521,-0.7122528122904452,0.41109635584995435,0.732643416935748,-0.4129206781277816,0.7159189732420117,-0.48319621576574884,0.1277354031267505,0.885980760065685,0.7837330900409901,0.9273868806862273,0.723899290136551,0.5035691080802495
