,spread,Mspread
2021-10-08 09:35:00,3895.132909235911,-162.2254138328126
2021-10-08 09:40:00,3902.6807808199655,-154.67754224875807
2021-10-08 09:45:00,3928.4565981005544,-128.90172496816922
2021-10-08 09:50:00,3930.902808268551,-126.45551480017275
2021-10-08 09:55:00,3928.479729247144,-128.87859382157967
2021-10-08 10:00:00,3925.4310136573486,-131.92730941137506
2021-10-08 10:05:00,3930.0704897884334,-127.28783328029022
2021-10-08 10:10:00,3940.198596470594,-117.15972659812951
2021-10-08 10:15:00,3941.2440996892974,-116.11422337942622
2021-10-08 10:20:00,3935.604975698585,-121.75334737013873
2021-10-08 10:25:00,3928.160902075998,-129.1974209927257
2021-10-08 10:30:00,3929.1047497172026,-128.25357335152103
2021-10-08 10:35:00,3935.2993357800337,-122.05898728868988
2021-10-08 10:40:00,3936.9090803600684,-120.44924270865522
2021-10-08 10:45:00,3932.293529594124,-125.06479347459981
2021-10-08 10:50:00,3941.1067534455433,-116.25156962318033
2021-10-08 10:55:00,3946.623712241331,-110.73461082739277
2021-10-08 11:00:00,3947.861346668618,-109.49697640010572
2021-10-08 11:05:00,3949.945191212242,-107.41313185648141
2021-10-08 11:10:00,3943.631937338667,-113.72638573005679
2021-10-08 11:15:00,3941.5249912159643,-115.83333185275933
2021-10-08 11:20:00,3938.6918998988463,-118.66642316987736
2021-10-08 11:25:00,3928.976023839835,-128.38229922888877
2021-10-08 11:30:00,3928.3780659986933,-128.98025707003035
2021-10-08 13:05:00,3923.9556595326803,-133.4026635360433
2021-10-08 13:10:00,3915.978341788039,-141.37998128068466
2021-10-08 13:15:00,3921.9820961367022,-135.37622693202138
2021-10-08 13:20:00,3914.8215626191495,-142.5367604495741
2021-10-08 13:25:00,3925.2362539611504,-132.12206910757322
2021-10-08 13:30:00,3924.31253222592,-133.0457908428034
2021-10-08 13:35:00,3929.0598457533583,-128.2984773153653
2021-10-08 13:40:00,3934.025032134876,-123.33329093384782
2021-10-08 13:45:00,3936.030326288099,-121.32799678062474
2021-10-08 13:50:00,3941.3786238242005,-115.97969924452309
2021-10-08 13:55:00,3941.913350117629,-115.44497295109477
2021-10-08 14:00:00,3941.1459680602484,-116.21235500847524
2021-10-08 14:05:00,3942.2703112514087,-115.08801181731496
2021-10-08 14:10:00,3942.3138705074525,-115.0444525612711
2021-10-08 14:15:00,3939.3159024816205,-118.04242058710315
2021-10-08 14:20:00,3935.118517935845,-122.2398051328787
2021-10-08 14:25:00,3935.878982241139,-121.47934082758456
2021-10-08 14:30:00,3933.0628901068067,-124.29543296191696
2021-10-08 14:35:00,3927.732143383839,-129.62617968488485
2021-10-08 14:40:00,3930.7500747335744,-126.60824833514926
2021-10-08 14:45:00,3929.89087202823,-127.46745104049342
2021-10-08 14:50:00,3931.061852506146,-126.29647056257772
2021-10-08 14:55:00,3931.9822174997557,-125.37610556896789
2021-10-08 15:00:00,3935.6392852856166,-121.71903778310707
2021-10-11 09:35:00,4020.5401099786627,-36.81821309006091
2021-10-11 09:40:00,4027.735464000449,-29.622859068274465
2021-10-11 09:45:00,4030.78112957355,-26.57719349517356
2021-10-11 09:50:00,4022.7279160572225,-34.63040701150112
2021-10-11 09:55:00,4029.5532179026022,-27.805105166121393
2021-10-11 10:00:00,4015.4226781340944,-41.93564493462918
2021-10-11 10:05:00,4012.4416671277227,-44.916655941000954
2021-10-11 10:10:00,4024.5234709329184,-32.83485213580525
2021-10-11 10:15:00,4023.759137317263,-33.59918575146048
2021-10-11 10:20:00,4025.1971029319693,-32.16122013675431
2021-10-11 10:25:00,4026.587497488953,-30.770825579770644
2021-10-11 10:30:00,4023.7341365045163,-33.62418656420732
2021-10-11 10:35:00,4021.934585112279,-35.42373795644471
2021-10-11 10:40:00,4015.4992679467414,-41.85905512198224
2021-10-11 10:45:00,4022.137189720972,-35.221133347751675
2021-10-11 10:50:00,4018.25163412864,-39.106688940083586
2021-10-11 10:55:00,4022.5529567382537,-34.80536633046995
2021-10-11 11:00:00,4020.376899478076,-36.98142359064741
2021-10-11 11:05:00,4012.779451078344,-44.57887199037941
2021-10-11 11:10:00,4012.8847771585447,-44.47354591017893
2021-10-11 11:15:00,4013.049597430967,-44.30872563775665
2021-10-11 11:20:00,4015.275540900297,-42.08278216842655
2021-10-11 11:25:00,4014.394438072769,-42.963884995954686
2021-10-11 11:30:00,4018.292053349045,-39.06626971967853
2021-10-11 13:05:00,4029.6291789441048,-27.72914412461887
2021-10-11 13:10:00,4036.0391146313664,-21.319208437357247
2021-10-11 13:15:00,4030.6221171773886,-26.736205891334976
2021-10-11 13:20:00,4031.218462217679,-26.139860851044432
2021-10-11 13:25:00,4029.1031360602083,-28.25518700851535
2021-10-11 13:30:00,4028.908253761382,-28.450069307341437
2021-10-11 13:35:00,4030.7245071821458,-26.63381588657785
2021-10-11 13:40:00,4027.4796694102506,-29.878653658473013
2021-10-11 13:45:00,4027.0694343852774,-30.288888683446203
2021-10-11 13:50:00,4036.086064177097,-21.272258891626734
2021-10-11 13:55:00,4033.9723948154938,-23.38592825322985
2021-10-11 14:00:00,4038.831149951292,-18.52717311743163
2021-10-11 14:05:00,4038.5654541283634,-18.792868940360222
2021-10-11 14:10:00,4043.7576968154135,-13.60062625331011
2021-10-11 14:15:00,4050.96062168502,-6.3977013837034065
2021-10-11 14:20:00,4051.235971081778,-6.122351986945432
2021-10-11 14:25:00,4048.9287316702575,-8.429591398466073
2021-10-11 14:30:00,4048.3059999111774,-9.052323157546198
2021-10-11 14:35:00,4035.4414727255134,-21.91685034321017
2021-10-11 14:40:00,4038.1994925157887,-19.158830552934887
2021-10-11 14:45:00,4030.226478339034,-27.13184472968942
2021-10-11 14:50:00,4036.8532933478646,-20.505029720859056
2021-10-11 14:55:00,4034.4039996363144,-22.954323432409183
2021-10-11 15:00:00,4031.46971184323,-25.888611225493605
2021-10-12 09:35:00,3998.860884392755,-58.497438675968624
2021-10-12 09:40:00,4012.9620323010345,-44.39629076768915
2021-10-12 09:45:00,4028.552121934331,-28.806201134392722
2021-10-12 09:50:00,4036.3440268829017,-21.014296185821877
2021-10-12 09:55:00,4036.1061357400104,-21.252187328713262
2021-10-12 10:00:00,4042.60610856215,-14.752214506573637
2021-10-12 10:05:00,4048.2555035930905,-9.102819475633169
2021-10-12 10:10:00,4044.8652318920203,-12.493091176703274
2021-10-12 10:15:00,4043.501235585813,-13.857087482910629
2021-10-12 10:20:00,4037.813906438113,-19.544416630610613
2021-10-12 10:25:00,4036.6576263714037,-20.700696697319927
2021-10-12 10:30:00,4039.5875166948763,-17.770806373847336
2021-10-12 10:35:00,4036.6301737288554,-20.728149339868196
