,0
0,26.66260513066809
1,10.004638610059986
2,5.805244733375675
3,1.575296270832299
4,1.2156095449483892
5,1.0479538653149634
6,0.6058742676185691
7,0.4611626727054256
8,0.3933309585990956
9,0.24375917182017653
10,0.23465508561355453
11,0.19655832258847367
12,0.17643284484980173
13,0.14638183451066886
14,0.1441144608321837
15,0.1290064484265844
16,0.10945010963777316
17,0.09031903981692534
18,0.08540582374035159
19,0.08375315472533959
20,0.07278351663588603
21,0.05406688663772562
22,0.048264193912286965
23,0.042464817544792206
24,0.039391490304819296
25,0.03526580823650222
26,0.027017350702032174
27,0.02649735941975055
28,0.025861110291459627
29,0.025266469074367477
30,0.021576996661990238
31,0.01963943943175441
32,0.01717588468302385
33,0.01656862826917787
34,0.01410792745978381
35,0.012413824403791279
36,0.011696227679004505
37,0.0024864428414707058
38,0.002668740120162281
39,0.0033101128861991558
40,0.003888147264357571
41,0.004480357840282201
42,0.01015373303798866
43,0.009752137227475421
44,0.008706520849294856
45,0.007869803662510963
46,0.007407091309393491
47,0.005419633298852833
48,0.005958659054339238
49,0.006288338575257609
