,0
2021-10-08 09:35:00,-1.1988155933308082
2021-10-08 09:40:00,0.30803594139022006
2021-10-08 09:45:00,0.196875607390389
2021-10-08 09:50:00,0.5033565241474609
2021-10-08 09:55:00,0.1530129847836339
2021-10-08 10:00:00,-0.16870838946769517
2021-10-08 10:05:00,0.18386108599023354
2021-10-08 10:10:00,0.05811696508045425
2021-10-08 10:15:00,0.217754074867352
2021-10-08 10:20:00,-0.14286295178819744
2021-10-08 10:25:00,-0.022264331181392816
2021-10-08 10:30:00,-0.2525367687199658
2021-10-08 10:35:00,0.03913909152184886
2021-10-08 10:40:00,0.18955985664367075
2021-10-08 10:45:00,-0.023218784907038076
2021-10-08 10:50:00,0.12361614539235782
2021-10-08 10:55:00,0.16624412537642613
2021-10-08 11:00:00,0.036490887130529795
2021-10-08 11:05:00,-0.021471377995834623
2021-10-08 11:10:00,0.029226425430313688
2021-10-08 11:15:00,-0.003011022701063293
2021-10-08 11:20:00,-0.09003403742862008
2021-10-08 11:25:00,0.03736274022829468
2021-10-08 11:30:00,0.008415450134214103
2021-10-08 13:05:00,-0.017822789552457724
2021-10-08 13:10:00,-0.013628689179746564
2021-10-08 13:15:00,-0.012800581021978116
2021-10-08 13:20:00,-0.0561139291008848
2021-10-08 13:25:00,0.01756342479128526
2021-10-08 13:30:00,0.11708442344319925
2021-10-08 13:35:00,-0.19085772842665888
2021-10-08 13:40:00,0.0213857352470207
2021-10-08 13:45:00,-0.019226941581551096
2021-10-08 13:50:00,-0.004740379522842897
2021-10-08 13:55:00,0.038381523980537374
2021-10-08 14:00:00,-0.1488547666331026
2021-10-08 14:05:00,0.056439556758300535
2021-10-08 14:10:00,0.12136279614650969
2021-10-08 14:15:00,-0.0372290154481454
2021-10-08 14:20:00,-0.028470298157256047
2021-10-08 14:25:00,0.08668183917760656
2021-10-08 14:30:00,-0.051211071680816234
2021-10-08 14:35:00,0.10854239261779369
2021-10-08 14:40:00,-0.009537447496085663
2021-10-08 14:45:00,-0.03182105795321721
2021-10-08 14:50:00,-0.006850456270359406
2021-10-08 14:55:00,-0.08146920649147352
2021-10-08 15:00:00,0.12867646721728002
2021-10-11 09:35:00,0.2706666513551745
2021-10-11 09:40:00,0.24067881432315616
2021-10-11 09:45:00,0.015331338740579126
2021-10-11 09:50:00,0.06037588473983513
2021-10-11 09:55:00,0.2670734897914293
2021-10-11 10:00:00,-0.11331936952909771
2021-10-11 10:05:00,-0.12663268162707264
2021-10-11 10:10:00,-0.1005571769908975
2021-10-11 10:15:00,-0.0852714830249659
2021-10-11 10:20:00,0.16410229085911798
2021-10-11 10:25:00,-0.2642096584412784
2021-10-11 10:30:00,-0.02539418466103771
2021-10-11 10:35:00,-0.03370143171476739
2021-10-11 10:40:00,0.02769719736299686
2021-10-11 10:45:00,0.017765813634997962
2021-10-11 10:50:00,0.10911737479856151
2021-10-11 10:55:00,0.012755019975173587
2021-10-11 11:00:00,0.011886997722420856
2021-10-11 11:05:00,0.045165872624571723
2021-10-11 11:10:00,0.0360565961183556
2021-10-11 11:15:00,0.05085478363087548
2021-10-11 11:20:00,-0.1524853643246366
2021-10-11 11:25:00,-0.010737211851769235
2021-10-11 11:30:00,-0.05345460572615701
2021-10-11 13:05:00,0.18035117832849618
2021-10-11 13:10:00,0.09217608236355812
2021-10-11 13:15:00,0.11038486935010905
2021-10-11 13:20:00,-0.13528167405231817
2021-10-11 13:25:00,-0.14604520596206955
2021-10-11 13:30:00,-0.01585752756270542
2021-10-11 13:35:00,0.12888389377879922
2021-10-11 13:40:00,0.031060715446387777
2021-10-11 13:45:00,-0.05002051292997728
2021-10-11 13:50:00,0.06205179736390126
2021-10-11 13:55:00,-0.0032660943699554523
2021-10-11 14:00:00,-0.05090986566337369
2021-10-11 14:05:00,0.008418193824289488
2021-10-11 14:10:00,-0.005254735701843816
2021-10-11 14:15:00,-0.06827703338986935
2021-10-11 14:20:00,0.007611303255246393
2021-10-11 14:25:00,0.00411696801725292
2021-10-11 14:30:00,-0.016636073137526908
2021-10-11 14:35:00,-0.017843820343186323
2021-10-11 14:40:00,-0.06164576540801919
2021-10-11 14:45:00,0.038460357511798576
2021-10-11 14:50:00,-0.053003831368249876
2021-10-11 14:55:00,0.03022111743272915
2021-10-11 15:00:00,0.06529146354160376
2021-10-12 09:35:00,-0.18013641381944512
2021-10-12 09:40:00,0.12865207132498507
2021-10-12 09:45:00,0.23670688226689446
2021-10-12 09:50:00,0.13155950082940382
2021-10-12 09:55:00,0.13606569476549524
2021-10-12 10:00:00,0.15415572039679115
2021-10-12 10:05:00,0.09237719335872263
2021-10-12 10:10:00,-0.09028540397092777
2021-10-12 10:15:00,0.049467237997774305
2021-10-12 10:20:00,0.05006468887703952
2021-10-12 10:25:00,-0.1763856294439905
2021-10-12 10:30:00,0.26359694322808414
2021-10-12 10:35:00,-0.13958548153162975
2021-10-12 10:40:00,0.011986764692315743
2021-10-12 10:45:00,-0.07507183206648649
2021-10-12 10:50:00,0.052367140756981456
2021-10-12 10:55:00,-0.19652119291929626
2021-10-12 11:00:00,0.011642294540911369
2021-10-12 11:05:00,-0.21019945771343607
2021-10-12 11:10:00,0.10767742287745585
2021-10-12 11:15:00,-0.016345418162033165
2021-10-12 11:20:00,0.036846646536574434
2021-10-12 11:25:00,-0.03482740823527397
2021-10-12 11:30:00,0.10937378635824335
2021-10-12 13:05:00,-0.11235570442752829
2021-10-12 13:10:00,-0.007537038382685879
2021-10-12 13:15:00,-0.1982627256778653
2021-10-12 13:20:00,-0.11087945678476385
