,firstStockCode,secondStockCode
0,600000.XSHG,600031.XSHG
1,600000.XSHG,600036.XSHG
2,600000.XSHG,600050.XSHG
3,600000.XSHG,600309.XSHG
4,600000.XSHG,600837.XSHG
5,600000.XSHG,601211.XSHG
6,600000.XSHG,601336.XSHG
7,600000.XSHG,601601.XSHG
8,600000.XSHG,601628.XSHG
9,600000.XSHG,601888.XSHG
10,600030.XSHG,600588.XSHG
11,600030.XSHG,601211.XSHG
12,600030.XSHG,601688.XSHG
13,600030.XSHG,601728.XSHG
14,600031.XSHG,600050.XSHG
15,600031.XSHG,600276.XSHG
16,600031.XSHG,600309.XSHG
17,600031.XSHG,600837.XSHG
18,600031.XSHG,601066.XSHG
19,600031.XSHG,601138.XSHG
20,600031.XSHG,601336.XSHG
21,600031.XSHG,601601.XSHG
22,600031.XSHG,601628.XSHG
23,600031.XSHG,601995.XSHG
24,600036.XSHG,601336.XSHG
25,600036.XSHG,601601.XSHG
26,600048.XSHG,601668.XSHG
27,600050.XSHG,600309.XSHG
28,600050.XSHG,600837.XSHG
29,600050.XSHG,601138.XSHG
30,600050.XSHG,601336.XSHG
31,600050.XSHG,601601.XSHG
32,600050.XSHG,601628.XSHG
33,600104.XSHG,600276.XSHG
34,600104.XSHG,600436.XSHG
35,600104.XSHG,600570.XSHG
36,600104.XSHG,600837.XSHG
37,600104.XSHG,600893.XSHG
38,600104.XSHG,601066.XSHG
39,600104.XSHG,601138.XSHG
40,600104.XSHG,601633.XSHG
41,600104.XSHG,603288.XSHG
42,600276.XSHG,600436.XSHG
43,600276.XSHG,600570.XSHG
44,600276.XSHG,600837.XSHG
45,600276.XSHG,600893.XSHG
46,600276.XSHG,601066.XSHG
47,600276.XSHG,601633.XSHG
48,600276.XSHG,601995.XSHG
49,600276.XSHG,603288.XSHG
50,600309.XSHG,600837.XSHG
51,600309.XSHG,601066.XSHG
52,600309.XSHG,601138.XSHG
53,600309.XSHG,601336.XSHG
54,600309.XSHG,601601.XSHG
55,600309.XSHG,601628.XSHG
56,600309.XSHG,601888.XSHG
57,600436.XSHG,600570.XSHG
58,600436.XSHG,600893.XSHG
59,600436.XSHG,601066.XSHG
60,600436.XSHG,601633.XSHG
61,600436.XSHG,601995.XSHG
62,600570.XSHG,600690.XSHG
63,600570.XSHG,600837.XSHG
64,600570.XSHG,601066.XSHG
65,600570.XSHG,601138.XSHG
66,600570.XSHG,603501.XSHG
67,600588.XSHG,600690.XSHG
68,600588.XSHG,601211.XSHG
69,600588.XSHG,601688.XSHG
70,600690.XSHG,601688.XSHG
71,600690.XSHG,601728.XSHG
72,600690.XSHG,603501.XSHG
73,600745.XSHG,603501.XSHG
74,600837.XSHG,601066.XSHG
75,600837.XSHG,601138.XSHG
76,600837.XSHG,601601.XSHG
77,600837.XSHG,601633.XSHG
78,600837.XSHG,603288.XSHG
79,601066.XSHG,601138.XSHG
80,601066.XSHG,601601.XSHG
81,601066.XSHG,601728.XSHG
82,601066.XSHG,601995.XSHG
83,601138.XSHG,601601.XSHG
84,601138.XSHG,601728.XSHG
85,601166.XSHG,601668.XSHG
86,601211.XSHG,601336.XSHG
87,601211.XSHG,601601.XSHG
88,601211.XSHG,601628.XSHG
89,601211.XSHG,601688.XSHG
90,601336.XSHG,601601.XSHG
91,601336.XSHG,601628.XSHG
92,601336.XSHG,601888.XSHG
93,601601.XSHG,601628.XSHG
94,601601.XSHG,601888.XSHG
95,601628.XSHG,601888.XSHG
96,601633.XSHG,603288.XSHG
