,T,P,Lags Used,NumberObservationsUsed,stockName
0,-38.892667350911644,0.0,3,5803,601995.XSHG
1,-76.25224514035831,0.0,0,5806,601688.XSHG
2,-36.050077551387325,0.0,4,5802,600570.XSHG
3,-52.58129510232992,0.0,2,5804,600050.XSHG
4,-36.265027161107255,0.0,4,5802,603288.XSHG
5,-42.712660608448125,0.0,2,5804,601138.XSHG
6,-78.73530123474463,0.0,0,5806,600893.XSHG
7,-15.038502405627343,9.669928740317387e-28,27,5779,600276.XSHG
8,-40.24560925651957,0.0,3,5803,600036.XSHG
9,-55.671659372721024,0.0,1,5805,600588.XSHG
10,-55.97548134589268,0.0,1,5805,600436.XSHG
11,-23.547695370159193,0.0,9,5797,601633.XSHG
12,-55.17128164415127,0.0,1,5805,601628.XSHG
13,-43.73989531259471,0.0,2,5804,601336.XSHG
14,-44.29705111431174,0.0,2,5804,600837.XSHG
15,-75.43959255013685,0.0,0,5806,600309.XSHG
16,-42.64071385783644,0.0,2,5804,600031.XSHG
17,-80.65311089200704,0.0,0,5806,601066.XSHG
18,-37.32748740654441,0.0,4,5802,600000.XSHG
19,-35.891388418603775,0.0,3,5803,600104.XSHG
20,-77.78775035726916,0.0,0,5806,601601.XSHG
